[emotion];[number];[valence];[arousal];[prob. anger];[prob. disgust];[prob. fear];[prob. joy];[prob. sadness];[prob. surprise];[prob. neutral]
disgust;1;2.5;3.8;0.13;0.7;0;0.07;0.1;0;0
surprise;1;6.3;5.7;0;0.066667;0.17;0.23;0.13;0.23;0.17
fear;1;2.8;4.8;0.1;0.1;0.53;0;0.13;0;0.13
joy;1;8;4.5;0;0;0;0.67;0;0.27;0.07
sadness;1;2.7;5.2;0;0;0.1;0;0.9;0;0
disgust;2;1.1;4.3;0.02;0.377778;0.52;0;0.08;0;0
anger;1;4.6;4.5;0.03;0.033333;0.27;0;0.2;0.13;0.33
anger;2;6.3;4.9;0;0.133333;0.13;0.09;0.2;0.16;0.29
fear;2;4.6;3.8;0.02;0.088889;0.07;0.09;0.07;0.2;0.47
disgust;3;1.4;7.9;0.1;0.232222;0.5;0;0.14;0.03;0
sadness;2;3.5;4.2;0.03;0.066667;0;0.03;0.77;0;0.1
fear;3;3.9;3.9;0;0;0.43;0;0.17;0.07;0.33
sadness;3;2.7;3.8;0;0.066667;0;0.03;0.83;0;0.07
surprise;2;6;4.9;0;0;0.12;0.34;0.02;0.34;0.17
joy;2;7.7;3.9;0;0;0;0.62;0;0.19;0.19
surprise;3;8.3;7.2;0;0;0;0.37;0.02;0.43;0.18
anger;3;3.6;5.4;0.52;0.033333;0.13;0;0.09;0.03;0.19
joy;3;8.1;5.8;0;0;0;0.54;0.09;0.14;0.22
joy;4;7.2;5.1;0;0;0.07;0.57;0;0.17;0.2
surprise;4;4.7;5.4;0;0.066667;0.1;0.07;0.07;0.23;0.47
disgust;4;2.6;5;0.07;0.366667;0.17;0.03;0;0.1;0.27
anger;4;6.1;5.7;0;0;0.3;0.13;0;0.23;0.33
sadness;4;4.8;4.7;0;0;0.07;0;0.27;0.07;0.6
disgust;5;2.9;4.2;0;0.333333;0.07;0;0.2;0;0.4
fear;4;5.1;4.7;0.07;0.066667;0.07;0.2;0.07;0.07;0.47
anger;5;7.4;5.6;0.07;0.066667;0.07;0.27;0.07;0.2;0.27
fear;5;1.5;4.7;0.07;0.1;0.83;0;0;0;0
surprise;5;8;3.4;0;0;0;0.57;0;0.23;0.2
joy;5;6.1;4.5;0.13;0.1;0.07;0.27;0;0.3;0.13
anger;6;1.6;5.3;0.03;0.066667;0.4;0;0.43;0;0.07
sadness;5;6.1;3.5;0;0.033333;0;0.23;0.27;0.13;0.33
disgust;6;2.2;4.8;0.07;0.433333;0.2;0.07;0.23;0;0
fear;6;1.8;5.2;0;0.2;0.2;0;0.43;0;0.17
joy;6;6.7;4.1;0;0;0.1;0.4;0.03;0.27;0.2
sadness;6;4.3;4.2;0;0;0.03;0.07;0.63;0.07;0.2
surprise;6;6.5;4;0;0.033333;0;0.3;0;0.17;0.5
disgust;7;3.2;4.5;0.1;0.333333;0;0;0.1;0.07;0.4
joy;7;7.8;6.9;0;0;0;0.87;0;0.13;0
disgust;8;4.9;5.3;0;0.266667;0.1;0.07;0.03;0.03;0.5
